category,pearson,spearman,n_pairs
sg_ott,0.7175524108382971,0.6937581225759989,1309
sg_app,0.5896185046760235,0.542922239075152,1309
sg_arg,0.559155059350718,0.5543118462316643,1309
sg_putt,0.49374875727802103,0.4812069145257814,1309
sg_total_calc,0.6208384154594879,0.5701722322860728,1309
