example,player,category,streak_rounds,streak_avg,streak_total,events,finishes,shrink_weight,predicted_true_skill,next30_avg,prior_career_avg,prior_career_rounds,after_career_avg,after_career_rounds
spieth_putting_2019,"Spieth, Jordan",sg_putt,16,1.77,28.3,AT&T Byron Nelson; PGA Championship; Charles Schwab Challenge; the Memorial Tournament presented by Nationwide,T29; T3; T8; T7,0.251,0.45,0.69,0.13,154,0.1,486
rahm_driving_2022,"Rahm, Jon",sg_ott,12,1.471,17.7,WM Phoenix Open; The Genesis Invitational; Arnold Palmer Invitational presented by Mastercard,T10; T21; T17,0.579,0.85,0.9,0.81,269,0.63,151
