category,k_rounds_to_R50,k_ci_lo,k_ci_hi,rounds_to_R70,r70_ci_lo,r70_ci_hi,extrapolated_beyond_grid
sg_ott,8.712153855799778,7.941269941017746,9.660701693589214,20.32835899686615,18.52962986237474,22.5416372850415,False
sg_app,29.64640868625757,25.716798942147918,34.33298622818646,69.17495360126766,60.00586419834514,80.11030119910176,True
sg_arg,39.225920460951585,35.49813896666556,43.942358345629295,91.52714774222038,82.82899092221963,102.53216947313501,True
sg_putt,47.620206624285565,42.09101796343789,53.62487939757706,111.11381545666632,98.21237524802176,125.12471859434648,True
sg_total_calc,23.301631762093418,20.235239762011595,27.18646729885452,54.37047411155131,47.215559444693724,63.43509036399388,False
